uID,Season,Grid,Species,ID,Capture_type,Date_capture,Station,Trap_type,SVL_mm
84,1,RE1,oa,RE1-0045,Marked,18/11/2017,d1,Pitfall,56
85,2,WP2,wm,S2-WP2-1,Marked,5/01/2018,b5,Pitfall,59
86,1,RE1,oa,RE1-0045,Marked,21/11/2017,d1,Pitfall,
87,2,WP2,wm,S2-WP2-2,Marked,5/01/2018,a3,Onduline,63
88,1,RE1,oa,RE1-0052M,Marked,18/11/2017,e6,Pitfall,59
89,2,WP2,wm,S2-WP2-3,Marked,5/01/2018,b4,Pitfall,64
90,1,RE1,oa,RE1-0053,Marked,18/11/2017,e6,Pitfall,59
91,2,WP2,wm,S2-WP2-4,Marked,5/01/2018,e3,Pitfall,51
92,1,RE1,op,RE1-0054f,Marked,18/11/2017,c2,Onduline,62
93,2,WP2,wm,S2-WP2-4,Marked,9/01/2018,f3,Onduline,
94,1,RE1,oa,RE1-0203,Marked,18/11/2017,c3,Onduline,63
95,2,WP2,wm,S2-WP2-5,Marked,5/01/2018,f6,Pitfall,60
96,1,RE1,oa,RE1-0202,Marked,18/11/2017,e4,Onduline,49
97,2,WP2,wm,S2-WP2-8,Marked,6/01/2018,f3,Pitfall,63
98,1,RE1,op,RE1-3000,Marked,19/11/2017,d4,Pitfall,59
99,2,WP2,wm,S2-WP2-9,Marked,8/01/2018,a2,Onduline,43
100,1,RE1,op,RE1-3000,Marked,21/11/2017,b3,Pitfall,
101,2,WP2,wm,S2-WP2-10,Marked,8/01/2018,b5,Pitfall,59
102,1,RE1,op,RE1-3000,Marked,22/11/2017,b3,Pitfall,
103,2,WP2,wm,S2-WP2-12,Marked,8/01/2018,b4,Onduline,52
104,1,RE1,op,RE1-3000,Marked,23/11/2017,b3,Pitfall,
105,2,WP2,wm,S2-WP2-11,Marked,8/01/2018,c6,Onduline,61
106,1,RE1,op,RE1-3000,Marked,24/11/2017,a3,Pitfall,
107,2,WP2,op,WP2-0022,Marked,8/01/2018,b1,Pitfall,61
108,1,RE1,op,RE1-3000,Marked,27/11/2017,a3,Pitfall,
109,2,WP2,wm,S2-WP2-13,Marked,8/01/2018,b2,Onduline,50
110,1,RE1,op,RE1-3500,Marked,19/11/2017,b4,Pitfall,56
111,2,WP2,op,WP2-0013,Marked,8/01/2018,a1,Pitfall,29
112,1,RE1,op,RE1-3500,Marked,20/11/2017,c4,Pitfall,56
113,2,WP2,wm,S2-WP2-14,Marked,9/01/2018,c1,Onduline,44
114,1,RE1,op,RE1-3500f,Marked,24/11/2017,b5,Pitfall,55
115,2,WP2,op,WP2-00(34)0,Marked,9/01/2018,f5,Pitfall,58
116,1,RE1,op,RE1-3500m,Marked,21/11/2017,b4,Pitfall,57
117,2,WP2,op,WP2-0404,Marked,9/01/2018,b1,Pitfall,47
118,1,RE1,op,RE1-4000,Marked,19/11/2017,b4,Pitfall,
119,2,WP2,wm,S2-WP2-15,Marked,10/01/2018,c5,Pitfall,63
120,1,RE1,oa,RE1-5040,Marked,19/11/2017,d4,Onduline,64
121,2,WP2,wm,S2-WP2-15,Marked,12/01/2018,f6,Onduline,
122,1,RE1,op,RE1-5050,Marked,19/11/2017,d3,Pitfall,54
123,2,WP2,op,WP2-0405,Marked,10/01/2018,d1,Onduline,58
124,1,RE1,op,RE1-5050,Marked,22/11/2017,b3,Pitfall,54
125,2,WP3,wm,S2-WP3-6,Marked,5/01/2018,b4,Pitfall,37
126,1,RE1,oa,RE1-5030,Marked,19/11/2017,c2,Pitfall,53
127,2,WP3,op,WP3-0043,Marked,10/01/2018,a4,Pitfall,28.5
128,1,RE1,oa,RE1-5030,Marked,20/11/2017,b2,Pitfall,53
129,2,WP3,op,WP3-0050,Marked,13/01/2018,f1,Pitfall,62
130,1,RE1,oa,RE1-0504,Marked,19/11/2017,e1,Pitfall,57
131,2,MP1,op,MP1-0330,Marked,4/02/2018,b1,Pitfall,46
132,1,RE1,oa,RE1-0504,Marked,21/11/2017,c1,Pitfall,
133,2,MP1,op,MP1-0340,Marked,4/02/2018,b1,Pitfall,48
134,1,RE1,oa,RE1-0504,Marked,22/11/2017,d1,Pitfall,
135,2,MP1,op,MP1-0043,Marked,4/02/2018,e4,Pitfall,
136,1,RE1,op,RE1-005(34),Marked,20/11/2017,a1,Pitfall,61
137,2,MP2,op,MP2-4040,Marked,29/01/2018,b6,Pitfall,
138,1,RE1,op,RE1-0100,Marked,20/11/2017,a5,Pitfall,58
139,2,MP2,op,MP2-0230,Marked,29/01/2018,b5,Pitfall,54
140,1,RE1,op,RE1-0100,Marked,22/11/2017,d6,Pitfall,
141,2,MP2,wm,S2-MP2-1,Marked,29/01/2018,b1,Onduline,52.5
142,1,RE1,op,RE1-4002,Marked,20/11/2017,b4,Pitfall,59
143,2,MP2,op,MP2-0240,Marked,29/01/2018,b1,Pitfall,54
144,1,RE1,op,RE1-4002,Marked,23/11/2017,a4,Pitfall,
145,2,MP2,op,MP2-0240,Marked,31/01/2018,b2,Pitfall,
146,1,RE1,op,RE1-4003,Marked,20/11/2017,b3,Pitfall,39
147,2,MP2,op,MP2-0240,Marked,4/02/2018,c2,Pitfall,
148,1,RE1,op,RE1-4003,Marked,24/11/2017,f2,Pitfall,
149,2,MP2,op,MP2-0250,Marked,29/01/2018,e1,Pitfall,63
150,1,RE1,op,RE1-4004,Marked,20/11/2017,d2,Pitfall,41
151,2,MP2,op,MP2-0320,Marked,29/01/2018,f6,Pitfall,47
152,1,RE1,oa,RE1-4200,Marked,20/11/2017,d5,Pitfall,53
153,2,MP2,op,MP2-0320,Marked,5/02/2018,f3,Pitfall,
154,1,RE1,op,RE1-4005m,Marked,20/11/2017,d5,Pitfall,54
155,2,MP2,op,MP2-0045,Marked,29/01/2018,f4,Pitfall,
156,1,RE1,op,RE1-4005m,Marked,21/11/2017,d4,Pitfall,
157,2,MP2,op,MP2-0330,Marked,29/01/2018,f3,Pitfall,50
158,1,RE1,op,RE1-4005m,Marked,23/11/2017,b4,Pitfall,
159,2,MP2,op,MP2-0330,Marked,4/02/2018,f3,Pitfall,
160,1,RE1,op,RE1-4005m,Marked,24/11/2017,b4,Pitfall,
161,2,MP2,wm,S2-MP2-3,Marked,31/01/2018,a1,Onduline,52
162,1,RE1,oa,RE1-0204,Marked,20/11/2017,d6,Pitfall,61
163,2,MP2,op,MP2-0520,Marked,31/01/2018,e1,Pitfall,51
164,1,RE1,oa,RE1-5004,Marked,21/11/2017,a1,Pitfall,53
165,2,MP2,wm,S2-MP2-4,Marked,1/02/2018,b5,Pitfall,68
166,1,RE1,op,RE1-0013,Marked,21/11/2017,a5,Pitfall,61
167,2,MP2,wm,S2-MP2-4,Marked,2/02/2018,b5,Pitfall,
168,1,RE1,op,RE1-0205,Marked,21/11/2017,a5,Pitfall,62
169,2,MP2,op,MP2-0350m,Marked,4/02/2018,d1,Pitfall,49
170,1,RE1,oa,RE1-5200,Marked,21/11/2017,c1,Pitfall,58
171,2,MP2,wm,S2-MP2-5,Marked,3/02/2018,e5,Onduline,54
172,1,RE1,op,RE1-0050,Marked,21/11/2017,d4,Pitfall,56
173,2,MP2,op,MP2-0055,Marked,3/02/2018,a3,Pitfall,56
174,1,RE1,op,RE1-0050,Marked,23/11/2017,b4,Pitfall,
175,2,MP2,op,MP2-0035n,Marked,5/02/2018,e1,Pitfall,
176,1,RE1,op,RE1-0030,Marked,22/11/2017,b1,Pitfall,
177,3,WP2,wm,S3-WP2-1,Marked,6/03/2018,c6,Onduline,50
178,1,RE1,oa,RE1-0240,Marked,22/11/2017,e6,Pitfall,56
179,3,WP2,wm,S3-WP2-1,Marked,13/03/2018,c6,Pitfall,
180,1,RE1,op,RE1-0250,Marked,22/11/2017,b1,Pitfall,55
181,3,WP2,wm,S3-WP2-2,Marked,6/03/2018,c6,Pitfall,56
182,1,RE1,op,RE1-0250,Marked,23/11/2017,b2,Pitfall,
183,3,WP2,wm,S3-WP2-3,Marked,6/03/2018,c6,Pitfall,40
184,1,RE1,op,RE1-0250,Marked,27/11/2017,c3,Pitfall,
185,3,WP2,wm,S3-WP2-4,Marked,6/03/2018,c6,Pitfall,29
186,1,RE1,oa,RE1-0320,Marked,22/11/2017,b5,Pitfall,47
187,3,WP2,wm,S3-WP2-5,Marked,6/03/2018,d1,Pitfall,63.5
188,1,RE1,op,RE1-00(34)0,Marked,23/11/2017,b2,Pitfall,66
189,3,WP2,wm,S3-WP2-6,Marked,6/03/2018,e4,Pitfall,56
190,1,RE1,op,RE1-0420,Marked,23/11/2017,b3,Pitfall,44
191,3,WP2,wm,S3-WP2-7,Marked,6/03/2018,e5,Pitfall,30
192,1,RE1,oa,RE1-005(35),Marked,24/11/2017,d6,Pitfall,60
193,3,WP2,wm,S3-WP2-7,Marked,13/03/2018,e5,Pitfall,
194,1,RE1,oa,RE1-0450,Marked,24/11/2017,f5,Pitfall,42
195,3,WP2,wm,S3-WP2-8,Marked,6/03/2018,f4,Pitfall,45
196,1,RE1,oa,RE1-0005,Marked,24/11/2017,e1,Pitfall,63
197,3,WP2,wm,S3-WP2-9,Marked,6/03/2018,f6,Pitfall,56
198,1,RE1,op,RE1-0520,Marked,24/11/2017,b3,Pitfall,31
199,3,WP2,wm,S3-WP2-12,Marked,8/03/2018,a2,Pitfall,63
200,1,RE1,op,RE1-0530,Marked,24/11/2017,b5,Pitfall,45
201,3,WP2,wm,S3-WP2-13,Marked,8/03/2018,c6,Onduline,37.5
202,1,RE2,oa,RE2-0022,Marked,18/11/2017,a4,Pitfall,61.5
203,3,WP2,wm,S3-WP2-13,Marked,12/03/2018,b6,Onduline,
204,1,RE2,oa,RE2-0022,Marked,20/11/2017,a5,Pitfall,
205,3,WP2,wm,S3-WP2-14,Marked,9/03/2018,f4,Onduline,43
206,1,RE2,oa,RE2-0022,Marked,25/11/2017,a4,Pitfall,
207,3,WP2,wm,S3-WP2-15,Marked,9/03/2018,f5,Onduline,65
208,1,RE2,oa,RE2-0023,Marked,18/11/2017,a1,Pitfall,60
209,3,WP2,wm,S3-WP2-15,Marked,12/03/2018,f5,Onduline,
210,1,RE2,oa,RE2-0023,Marked,23/11/2017,b1,Pitfall,
211,3,WP2,wm,S3-WP2-16,Marked,12/03/2018,a4,Onduline,62
212,1,RE2,oa,RE2-0023,Marked,24/11/2017,a1,Pitfall,60
213,3,WP2,wm,S3-WP2-17,Marked,13/03/2018,b1,Onduline,52.5
214,1,RE2,op,RE2-0024,Marked,18/11/2017,d6,Onduline,59
215,3,WP2,wm,S3-WP2-18,Marked,13/03/2018,d2,Onduline,57
216,1,RE2,op,RE2-0024,Marked,22/11/2017,a5,Pitfall,
217,3,WP2,wm,S3-WP2-19,Marked,14/03/2018,f2,Onduline,66.5
218,1,RE2,op,RE2-0025,Marked,18/11/2017,d5,Onduline,65
219,3,WP2,wm,S3-WP2-11,Marked,7/03/2018,d6,Onduline,54
220,1,RE2,op,RE2-0025,Marked,19/11/2017,d5,Pitfall,
221,3,WP2,wm,S3-WP2-11,Marked,8/03/2018,d6,Pitfall,
222,1,RE2,op,RE2-0025,Marked,20/11/2017,d4,Pitfall,
223,3,WP2,wm,S3-WP2-10,Marked,7/03/2018,a4,Pitfall,61.5
224,1,RE2,op,RE2-0025,Marked,21/11/2017,e5,Pitfall,
225,3,WP2,op,WP2-0004,Marked,8/03/2018,e4,Onduline,61
226,1,RE2,op,RE2-0025,Marked,25/11/2017,b3,Pitfall,
227,3,WP2,op,WP2-0354,Marked,13/03/2018,b2,Pitfall,58
228,1,RE2,op,RE2-0032,Marked,18/11/2017,f3,Onduline,46
229,3,WP2,op,WP2-0530,Marked,14/03/2018,e5,Pitfall,60
230,1,RE2,op,RE2-0(12345)00,Marked,18/11/2017,e5,Onduline,64
231,3,WP2,op,WP2-0034,Marked,16/03/2018,f4,Pitfall,56
232,1,RE2,op,RE2-0(12345)00,Marked,20/11/2017,f6,Pitfall,
233,3,WP3,op,WP3-0420,Marked,3/04/2018,d1,Pitfall,54
234,1,RE2,oa,RE2-0033,Marked,18/11/2017,f5,Onduline,
235,3,WP3,op,WP3-2050,Marked,5/04/2018,c5,Pitfall,52
236,1,RE2,op,RE2-2(35)54,Marked,19/11/2017,a5,Pitfall,66
237,3,WP3,wm,S3-WP-30,Marked,6/04/2018,b5,Pitfall,58
238,1,RE2,op,RE2-2(35)54,Marked,22/11/2017,d6,Pitfall,
239,3,WP3,wm,S3-WP-21f,Marked,4/04/2018,b5,Pitfall,62
240,1,RE2,op,RE2-2(35)54,Marked,23/11/2017,a6,Pitfall,
241,3,WP3,wm,S3-WP3-22,Marked,4/04/2018,b6,Pitfall,65
242,1,RE2,op,RE2-2(35)54,Marked,25/11/2017,c5,Pitfall,
243,3,WP3,wm,S3-WP3-21n,Marked,11/04/2018,d5,Pitfall,32
244,1,RE2,op,RE2-0204,Marked,19/11/2017,a5,Pitfall,52
245,3,MP1,wm,S3-MP1-A,Marked,3/04/2018,b1,Pitfall,58
246,1,RE2,op,RE2-0205,Marked,19/11/2017,a5,Pitfall,41
247,3,MP1,wm,S3-MP1-B,Marked,3/04/2018,d5,Pitfall,55
248,1,RE2,op,RE2-0302,Marked,19/11/2017,a4,Pitfall,58
249,3,MP1,op,MP1-0400,Marked,5/04/2018,b3,Pitfall,57
250,1,RE2,op,RE2-0302,Marked,20/11/2017,a4,Pitfall,
251,3,MP1,op,MP1-0202,Marked,5/04/2018,b1,Pitfall,51
252,1,RE2,op,RE2-0302,Marked,24/11/2017,c3,Pitfall,
253,3,MP1,wm,S3-MP1-C,Marked,9/04/2018,a2,Onduline,29
254,1,RE2,op,RE2-0302,Marked,25/11/2017,b4,Pitfall,
255,3,MP1,op,MP1-0202,Marked,4/04/2018,a1,Pitfall,50
256,1,RE2,oa,RE2-0303,Marked,19/11/2017,a1,Onduline,56
257,3,MP1,op,MP1-5500m,Marked,14/04/2018,b6,Pitfall,51
258,1,RE2,oa,RE2-0303,Marked,21/11/2017,b1,Pitfall,
259,3,MP2,wm,S3-MP2-1,Marked,5/03/2018,a1,Pitfall,71
260,1,RE2,op,RE2-0304,Marked,19/11/2017,a1,Pitfall,41
261,3,MP2,wm,S3-MP2-2,Marked,5/03/2018,a2,Pitfall,66
262,1,RE2,op,RE2-0305,Marked,19/11/2017,b2,Pitfall,58
263,3,MP2,wm,S3-MP2-2,Marked,13/03/2018,a4,Onduline,
264,1,RE2,op,RE2-0305,Marked,22/11/2017,a1,Pitfall,
265,3,MP2,wm,S3-MP2-3,Marked,5/03/2018,d5,Onduline,57
266,1,RE2,op,RE2-0305,Marked,24/11/2017,a1,Pitfall,
267,3,MP2,wm,S3-MP2-10,Marked,6/03/2018,e5,Pitfall,56
268,1,RE2,op,RE2-5350,Marked,19/11/2017,b2,Pitfall,65
269,3,MP2,wm,S3-MP2-11,Marked,6/03/2018,b5,Pitfall,29.5
270,1,RE2,oa,RE2-5200,Marked,19/11/2017,d3,Pitfall,48.5
271,3,MP2,wm,S3-MP2-11,Marked,9/03/2018,a5,Onduline,
272,1,RE2,oa,RE2-0402,Marked,19/11/2017,d3,Pitfall,50
273,3,MP2,wm,S3-MP2-11,Marked,14/03/2018,a4,Onduline,
274,1,RE2,oa,RE2-0(23)00,Marked,19/11/2017,c5,Pitfall,60
275,3,MP2,wm,S3-MP2-14,Marked,8/03/2018,f4,Pitfall,66
276,1,RE2,op,RE2-4045,Marked,20/11/2017,d5,Pitfall,54
277,3,MP2,wm,S3-MP2-na!,Marked,5/03/2018,b5,Pitfall,57
278,1,RE2,op,RE2-4045,Marked,24/11/2017,d5,Pitfall,
279,3,MP2,op,MP2-(34)000,Marked,6/03/2018,e1,Pitfall,55
280,1,RE2,oa,RE2-2(35)00,Marked,20/11/2017,d5,Pitfall,55
281,3,MP2,op,MP2-(34)000,Marked,7/03/2018,e2,Pitfall,
282,1,RE2,oa,RE2-0304,Marked,20/11/2017,a5,Pitfall,52
283,3,MP2,op,MP2-0250,Marked,9/03/2018,e1,Pitfall,64
284,1,RE2,oa,RE2-0304,Marked,21/11/2017,b5,Pitfall,
285,3,MP2,op,MP2-0045,Marked,13/03/2018,c4,Pitfall,63
286,1,RE2,oa,RE2-0304,Marked,22/11/2017,a1,Pitfall,
287,3,MP2,op,MP2-0005,Marked,16/03/2018,e3,Onduline,57
288,1,RE2,oa,RE2-0305,Marked,20/11/2017,f4,Pitfall,56
289,3,MP2,op,MP2-0505,Marked,17/03/2018,a6,Pitfall,32
290,1,RE2,oa,RE2-(12345)(12345)00,Marked,20/11/2017,f3,Pitfall,64
291,3,MP2,op,MP2-0520,Marked,17/03/2018,b1,Pitfall,56
292,1,RE2,op,RE2-(23)000m,Marked,20/11/2017,b3,Pitfall,55
293,4,WP2,op,WP2-4500,Marked,13/11/2018,a4,Pitfall,64
294,1,RE2,oa,RE2-0403,Marked,20/11/2017,b3,Pitfall,59
295,4,WP2,op,WP2-0023,Marked,13/11/2018,b6,Pitfall,63
296,1,RE2,oa,RE2-0403,Marked,24/11/2017,b4,Pitfall,
297,4,WP2,op,WP2-0023,Marked,14/11/2018,c6,Onduline,
298,1,RE2,oa,RE2-0404,Marked,20/11/2017,b3,Pitfall,47
299,4,WP2,op,WP2-0530,Marked,13/11/2018,b6,Pitfall,60.5
300,1,RE2,op,RE2-0405,Marked,20/11/2017,c2,Pitfall,45
301,4,WP2,op,WP2-0530,Marked,20/11/2018,c4,Onduline,
302,1,RE2,op,RE2-5010,Marked,20/11/2017,a1,Onduline,63
303,4,WP2,op,WP2-0530,Marked,21/11/2018,e5,Pitfall,
304,1,RE2,op,RE2-5010,Marked,23/11/2017,e1,Pitfall,
305,4,WP2,op,WP2-5400,Marked,13/11/2018,b6,Pitfall,48
306,1,RE2,op,RE2-0003m,Marked,20/11/2017,a1,Pitfall,61
307,4,WP2,wm,S4-WP2-1,Marked,13/11/2018,c6,Onduline,44.5
308,1,RE2,oa,RE2-0502,Marked,20/11/2017,d1,Pitfall,57
309,4,WP2,wm,S4-WP2-2,Marked,13/11/2018,c6,Pitfall,53
310,1,RE2,oa,RE2-5002,Marked,21/11/2017,c6,Pitfall,47
311,4,WP2,wm,S4-WP2-3N,Marked,13/11/2018,c5,Onduline,28.9
312,1,RE2,oa,RE2-5002,Marked,23/11/2017,c6,Pitfall,
313,4,WP2,wm,S4-WP2-3N,Marked,20/11/2018,d2,Onduline,
314,1,RE2,oa,RE2-5003,Marked,21/11/2017,f6,Pitfall,59
315,4,WP2,wm,S4-WP2-4,Marked,13/11/2018,d5,Pitfall,58
316,1,RE2,op,RE2-0(35)54,Marked,21/11/2017,b5,Pitfall,65
317,4,WP2,wm,S4-WP2-4,Marked,16/11/2018,d5,Pitfall,66
318,1,RE2,op,RE2-0140,Marked,21/11/2017,b5,Pitfall,59
319,4,WP2,wm,S4-WP2-4,Marked,22/11/2018,c1,Pitfall,
320,1,RE2,op,RE2-0140,Marked,22/11/2017,b2,Pitfall,
321,4,WP2,wm,S4-WP2-12,Marked,13/11/2018,a1,Onduline,
322,1,RE2,op,RE2-0140,Marked,23/11/2017,c2,Pitfall,
323,4,WP2,wm,S4-WP2-5M,Marked,13/11/2018,c2,Pitfall,64
324,1,RE2,op,RE2-0021,Marked,21/11/2017,b1,Pitfall,45
325,4,WP2,wm,S4-WP2-6,Marked,13/11/2018,d2,Pitfall,57
326,1,RE2,op,RE2-0220,Marked,22/11/2017,f6,Pitfall,54
327,4,WP2,wm,S4-WP2-7,Marked,13/11/2018,e5,Pitfall,68
328,1,RE2,op,RE2-0230,Marked,22/11/2017,f5,Pitfall,58
329,4,WP2,wm,S4-WP2-7,Marked,15/11/2018,f4,Pitfall,
330,1,RE2,op,RE2-0040,Marked,22/11/2017,f5,Pitfall,44
331,4,WP2,wm,S4-WP2-7,Marked,16/11/2018,e6,Pitfall,
332,1,RE2,oa,RE2-4(245)0(34),Marked,25/11/2017,a5,Pitfall,61
333,4,WP2,wm,S4-WP2-8,Marked,13/11/2018,e5,Pitfall,45
334,1,RE2,op,RE2-30(34)3,Marked,23/11/2017,,Pitfall,61.5
335,4,WP2,wm,S4-WP2-8,Marked,14/11/2018,e5,Pitfall,
336,1,RE2,op,RE2-0340,Marked,23/11/2017,a5,Pitfall,43.5
337,4,WP2,wm,S4-WP2-8,Marked,16/11/2018,f4,Onduline,
338,1,RE2,op,RE2-00(234),Marked,23/11/2017,d5,Pitfall,55
339,4,WP2,wm,S4-WP2-3G,Marked,14/11/2018,a3,Pitfall,64
340,1,RE2,op,RE2-0350,Marked,23/11/2017,a6,Pitfall,44
341,4,WP2,wm,S4-WP2-3G,Marked,21/11/2018,a3,Pitfall,
342,1,RE2,oa,RE2-0430,Marked,24/11/2017,f4,Pitfall,42.5
343,4,WP2,wm,S4-WP2-3G,Marked,27/11/2018,a3,Onduline,
344,1,RE2,op,RE2-(12)010,Marked,24/11/2017,c3,Pitfall,56
345,4,WP2,op,WP2-4050,Marked,14/11/2018,a5,Pitfall,49
346,1,RE2,op,RE2-(12)010,Marked,25/11/2017,b4,Pitfall,
347,4,WP2,op,WP2-4050,Marked,21/11/2018,a5,Pitfall,
348,1,RE2,op,RE2-0440,Marked,24/11/2017,a6,Pitfall,62
349,4,WP2,op,WP2-4050,Marked,23/11/2018,c4,Pitfall,
