"","uID","Season","Grid","Species","ID","Capture_type","Date_capture","Station","Trap_type","SVL_mm","Site","inundated","BA","Season.centred"
"54",54,2017.92602739726,"MP2","op","MP2-0050","Marked","25/11/2017","c4","Pitfall",58,"MP",0,0,-2.98927314918797
"55",55,2017.92602739726,"MP2","op","MP2-0025","Marked","25/11/2017","c2","Pitfall",52,"MP",0,0,-2.98927314918797
"57",57,2017.92602739726,"MP2","op","MP2-0032","Marked","25/11/2017","c2","Pitfall",55,"MP",0,0,-2.98927314918797
"59",59,2017.92602739726,"MP2","op","MP2-0034f","Marked","27/11/2017","a3","Pitfall",61,"MP",0,0,-2.98927314918797
"60",60,2017.92602739726,"MP2","op","MP2-1000","Marked","27/11/2017","b6","Pitfall",41,"MP",0,0,-2.98927314918797
"61",61,2017.92602739726,"MP2","op","MP2-0035m","Marked","27/11/2017","c","Pitfall",51,"MP",0,0,-2.98927314918797
"62",62,2017.92602739726,"RE1","op","RE1-0034","Marked","18/11/2017","a1","Onduline",64,"RE",0,0,-2.98927314918797
"63",63,2017.92602739726,"MP2","op","MP2-0042","Marked","27/11/2017","f5","Onduline",58,"MP",0,0,-2.98927314918797
"64",64,2017.92602739726,"RE1","op","RE1-0035","Marked","18/11/2017","b3","Pitfall",65,"RE",0,0,-2.98927314918797
"65",65,2017.92602739726,"MP2","op","MP2-0043","Marked","28/11/2017","a1","Pitfall",62,"MP",0,0,-2.98927314918797
"67",67,2017.92602739726,"MP2","op","MP2-0030m","Marked","28/11/2017","a1","Pitfall",61,"MP",0,0,-2.98927314918797
"69",69,2017.92602739726,"MP2","op","MP2-0044","Marked","28/11/2017","a2","Pitfall",42,"MP",0,0,-2.98927314918797
"71",71,2017.92602739726,"MP2","op","MP2-0045","Marked","29/11/2017","f3","Pitfall",53,"MP",0,0,-2.98927314918797
"73",73,2017.92602739726,"MP2","op","MP2-3002","Marked","29/11/2017","c4","Pitfall",52,"MP",0,0,-2.98927314918797
"75",75,2017.92602739726,"MP2","op","MP2-0052","Marked","30/11/2017","e3","Pitfall",53,"MP",0,0,-2.98927314918797
"76",76,2017.92602739726,"RE1","op","RE1-0042","Marked","18/11/2017","b3","Pitfall",55,"RE",0,0,-2.98927314918797
"79",79,2017.92602739726,"MP2","op","MP2-0054","Marked","1/12/2017","","",59,"MP",0,0,-2.98927314918797
"81",81,2017.92602739726,"MP2","op","MP2-0053","Marked","1/12/2017","a3","Pitfall",58,"MP",0,0,-2.98927314918797
"83",83,2017.92602739726,"MP2","op","MP2-0055","Marked","1/12/2017","a3","Pitfall",52,"MP",0,0,-2.98927314918797
"85",85,2018.0602739726,"WP2","wm","S2-WP2-1","Marked","5/01/2018","b5","Pitfall",59,"WP",0,0,-2.85502657384541
"87",87,2018.0602739726,"WP2","wm","S2-WP2-2","Marked","5/01/2018","a3","Onduline",63,"WP",0,0,-2.85502657384541
"89",89,2018.0602739726,"WP2","wm","S2-WP2-3","Marked","5/01/2018","b4","Pitfall",64,"WP",0,0,-2.85502657384541
"91",91,2018.0602739726,"WP2","wm","S2-WP2-4","Marked","5/01/2018","e3","Pitfall",51,"WP",0,0,-2.85502657384541
"92",92,2017.92602739726,"RE1","op","RE1-0054f","Marked","18/11/2017","c2","Onduline",62,"RE",0,0,-2.98927314918797
"95",95,2018.0602739726,"WP2","wm","S2-WP2-5","Marked","5/01/2018","f6","Pitfall",60,"WP",0,0,-2.85502657384541
"97",97,2018.0602739726,"WP2","wm","S2-WP2-8","Marked","6/01/2018","f3","Pitfall",63,"WP",0,0,-2.85502657384541
"98",98,2017.92602739726,"RE1","op","RE1-3000","Marked","19/11/2017","d4","Pitfall",59,"RE",0,0,-2.98927314918797
"99",99,2018.0602739726,"WP2","wm","S2-WP2-9","Marked","8/01/2018","a2","Onduline",43,"WP",0,0,-2.85502657384541
"101",101,2018.0602739726,"WP2","wm","S2-WP2-10","Marked","8/01/2018","b5","Pitfall",59,"WP",0,0,-2.85502657384541
"103",103,2018.0602739726,"WP2","wm","S2-WP2-12","Marked","8/01/2018","b4","Onduline",52,"WP",0,0,-2.85502657384541
"105",105,2018.0602739726,"WP2","wm","S2-WP2-11","Marked","8/01/2018","c6","Onduline",61,"WP",0,0,-2.85502657384541
"107",107,2018.0602739726,"WP2","op","WP2-0022","Marked","8/01/2018","b1","Pitfall",61,"WP",0,0,-2.85502657384541
"109",109,2018.0602739726,"WP2","wm","S2-WP2-13","Marked","8/01/2018","b2","Onduline",50,"WP",0,0,-2.85502657384541
"110",110,2017.92602739726,"RE1","op","RE1-3500","Marked","19/11/2017","b4","Pitfall",56,"RE",0,0,-2.98927314918797
"111",111,2018.0602739726,"WP2","op","WP2-0013","Marked","8/01/2018","a1","Pitfall",29,"WP",0,0,-2.85502657384541
"112",112,2017.92602739726,"RE1","op","RE1-3500","Marked","20/11/2017","c4","Pitfall",56,"RE",0,0,-2.98927314918797
"113",113,2018.0602739726,"WP2","wm","S2-WP2-14","Marked","9/01/2018","c1","Onduline",44,"WP",0,0,-2.85502657384541
"114",114,2017.92602739726,"RE1","op","RE1-3500f","Marked","24/11/2017","b5","Pitfall",55,"RE",0,0,-2.98927314918797
"115",115,2018.0602739726,"WP2","op","WP2-00(34)0","Marked","9/01/2018","f5","Pitfall",58,"WP",0,0,-2.85502657384541
"116",116,2017.92602739726,"RE1","op","RE1-3500m","Marked","21/11/2017","b4","Pitfall",57,"RE",0,0,-2.98927314918797
"117",117,2018.0602739726,"WP2","op","WP2-0404","Marked","9/01/2018","b1","Pitfall",47,"WP",0,0,-2.85502657384541
"119",119,2018.0602739726,"WP2","wm","S2-WP2-15","Marked","10/01/2018","c5","Pitfall",63,"WP",0,0,-2.85502657384541
"122",122,2017.92602739726,"RE1","op","RE1-5050","Marked","19/11/2017","d3","Pitfall",54,"RE",0,0,-2.98927314918797
"123",123,2018.0602739726,"WP2","op","WP2-0405","Marked","10/01/2018","d1","Onduline",58,"WP",0,0,-2.85502657384541
"124",124,2017.92602739726,"RE1","op","RE1-5050","Marked","22/11/2017","b3","Pitfall",54,"RE",0,0,-2.98927314918797
"125",125,2018.0602739726,"WP3","wm","S2-WP3-6","Marked","5/01/2018","b4","Pitfall",37,"WP",1,0,-2.85502657384541
"127",127,2018.0602739726,"WP3","op","WP3-0043","Marked","10/01/2018","a4","Pitfall",28.5,"WP",1,0,-2.85502657384541
"129",129,2018.0602739726,"WP3","op","WP3-0050","Marked","13/01/2018","f1","Pitfall",62,"WP",1,0,-2.85502657384541
"131",131,2018.0602739726,"MP1","op","MP1-0330","Marked","4/02/2018","b1","Pitfall",46,"MP",1,0,-2.85502657384541
"133",133,2018.0602739726,"MP1","op","MP1-0340","Marked","4/02/2018","b1","Pitfall",48,"MP",1,0,-2.85502657384541
"136",136,2017.92602739726,"RE1","op","RE1-005(34)","Marked","20/11/2017","a1","Pitfall",61,"RE",0,0,-2.98927314918797
"138",138,2017.92602739726,"RE1","op","RE1-0100","Marked","20/11/2017","a5","Pitfall",58,"RE",0,0,-2.98927314918797
"139",139,2018.0602739726,"MP2","op","MP2-0230","Marked","29/01/2018","b5","Pitfall",54,"MP",0,0,-2.85502657384541
"141",141,2018.0602739726,"MP2","wm","S2-MP2-1","Marked","29/01/2018","b1","Onduline",52.5,"MP",0,0,-2.85502657384541
"142",142,2017.92602739726,"RE1","op","RE1-4002","Marked","20/11/2017","b4","Pitfall",59,"RE",0,0,-2.98927314918797
"143",143,2018.0602739726,"MP2","op","MP2-0240","Marked","29/01/2018","b1","Pitfall",54,"MP",0,0,-2.85502657384541
"146",146,2017.92602739726,"RE1","op","RE1-4003","Marked","20/11/2017","b3","Pitfall",39,"RE",0,0,-2.98927314918797
"149",149,2018.0602739726,"MP2","op","MP2-0250","Marked","29/01/2018","e1","Pitfall",63,"MP",0,0,-2.85502657384541
"150",150,2017.92602739726,"RE1","op","RE1-4004","Marked","20/11/2017","d2","Pitfall",41,"RE",0,0,-2.98927314918797
"151",151,2018.0602739726,"MP2","op","MP2-0320","Marked","29/01/2018","f6","Pitfall",47,"MP",0,0,-2.85502657384541
"154",154,2017.92602739726,"RE1","op","RE1-4005m","Marked","20/11/2017","d5","Pitfall",54,"RE",0,0,-2.98927314918797
"157",157,2018.0602739726,"MP2","op","MP2-0330","Marked","29/01/2018","f3","Pitfall",50,"MP",0,0,-2.85502657384541
"161",161,2018.0602739726,"MP2","wm","S2-MP2-3","Marked","31/01/2018","a1","Onduline",52,"MP",0,0,-2.85502657384541
"163",163,2018.0602739726,"MP2","op","MP2-0520","Marked","31/01/2018","e1","Pitfall",51,"MP",0,0,-2.85502657384541
"165",165,2018.0602739726,"MP2","wm","S2-MP2-4","Marked","1/02/2018","b5","Pitfall",68,"MP",0,0,-2.85502657384541
"166",166,2017.92602739726,"RE1","op","RE1-0013","Marked","21/11/2017","a5","Pitfall",61,"RE",0,0,-2.98927314918797
"168",168,2017.92602739726,"RE1","op","RE1-0205","Marked","21/11/2017","a5","Pitfall",62,"RE",0,0,-2.98927314918797
"169",169,2018.0602739726,"MP2","op","MP2-0350m","Marked","4/02/2018","d1","Pitfall",49,"MP",0,0,-2.85502657384541
"171",171,2018.0602739726,"MP2","wm","S2-MP2-5","Marked","3/02/2018","e5","Onduline",54,"MP",0,0,-2.85502657384541
"172",172,2017.92602739726,"RE1","op","RE1-0050","Marked","21/11/2017","d4","Pitfall",56,"RE",0,0,-2.98927314918797
"173",173,2018.0602739726,"MP2","op","MP2-0055","Marked","3/02/2018","a3","Pitfall",56,"MP",0,0,-2.85502657384541
"177",177,2018.23287671233,"WP2","wm","S3-WP2-1","Marked","6/03/2018","c6","Onduline",50,"WP",0,0,-2.68242383411939
"180",180,2017.92602739726,"RE1","op","RE1-0250","Marked","22/11/2017","b1","Pitfall",55,"RE",0,0,-2.98927314918797
"181",181,2018.23287671233,"WP2","wm","S3-WP2-2","Marked","6/03/2018","c6","Pitfall",56,"WP",0,0,-2.68242383411939
"183",183,2018.23287671233,"WP2","wm","S3-WP2-3","Marked","6/03/2018","c6","Pitfall",40,"WP",0,0,-2.68242383411939
"185",185,2018.23287671233,"WP2","wm","S3-WP2-4","Marked","6/03/2018","c6","Pitfall",29,"WP",0,0,-2.68242383411939
"187",187,2018.23287671233,"WP2","wm","S3-WP2-5","Marked","6/03/2018","d1","Pitfall",63.5,"WP",0,0,-2.68242383411939
"188",188,2017.92602739726,"RE1","op","RE1-00(34)0","Marked","23/11/2017","b2","Pitfall",66,"RE",0,0,-2.98927314918797
"189",189,2018.23287671233,"WP2","wm","S3-WP2-6","Marked","6/03/2018","e4","Pitfall",56,"WP",0,0,-2.68242383411939
"190",190,2017.92602739726,"RE1","op","RE1-0420","Marked","23/11/2017","b3","Pitfall",44,"RE",0,0,-2.98927314918797
"191",191,2018.23287671233,"WP2","wm","S3-WP2-7","Marked","6/03/2018","e5","Pitfall",30,"WP",0,0,-2.68242383411939
"195",195,2018.23287671233,"WP2","wm","S3-WP2-8","Marked","6/03/2018","f4","Pitfall",45,"WP",0,0,-2.68242383411939
"197",197,2018.23287671233,"WP2","wm","S3-WP2-9","Marked","6/03/2018","f6","Pitfall",56,"WP",0,0,-2.68242383411939
"198",198,2017.92602739726,"RE1","op","RE1-0520","Marked","24/11/2017","b3","Pitfall",31,"RE",0,0,-2.98927314918797
"199",199,2018.23287671233,"WP2","wm","S3-WP2-12","Marked","8/03/2018","a2","Pitfall",63,"WP",0,0,-2.68242383411939
"200",200,2017.92602739726,"RE1","op","RE1-0530","Marked","24/11/2017","b5","Pitfall",45,"RE",0,0,-2.98927314918797
"201",201,2018.23287671233,"WP2","wm","S3-WP2-13","Marked","8/03/2018","c6","Onduline",37.5,"WP",0,0,-2.68242383411939
"205",205,2018.23287671233,"WP2","wm","S3-WP2-14","Marked","9/03/2018","f4","Onduline",43,"WP",0,0,-2.68242383411939
"207",207,2018.23287671233,"WP2","wm","S3-WP2-15","Marked","9/03/2018","f5","Onduline",65,"WP",0,0,-2.68242383411939
"211",211,2018.23287671233,"WP2","wm","S3-WP2-16","Marked","12/03/2018","a4","Onduline",62,"WP",0,0,-2.68242383411939
"213",213,2018.23287671233,"WP2","wm","S3-WP2-17","Marked","13/03/2018","b1","Onduline",52.5,"WP",0,0,-2.68242383411939
"214",214,2017.92602739726,"RE2","op","RE2-0024","Marked","18/11/2017","d6","Onduline",59,"RE",0,0,-2.98927314918797
"215",215,2018.23287671233,"WP2","wm","S3-WP2-18","Marked","13/03/2018","d2","Onduline",57,"WP",0,0,-2.68242383411939
"217",217,2018.23287671233,"WP2","wm","S3-WP2-19","Marked","14/03/2018","f2","Onduline",66.5,"WP",0,0,-2.68242383411939
"218",218,2017.92602739726,"RE2","op","RE2-0025","Marked","18/11/2017","d5","Onduline",65,"RE",0,0,-2.98927314918797
"219",219,2018.23287671233,"WP2","wm","S3-WP2-11","Marked","7/03/2018","d6","Onduline",54,"WP",0,0,-2.68242383411939
"223",223,2018.23287671233,"WP2","wm","S3-WP2-10","Marked","7/03/2018","a4","Pitfall",61.5,"WP",0,0,-2.68242383411939
"225",225,2018.23287671233,"WP2","op","WP2-0004","Marked","8/03/2018","e4","Onduline",61,"WP",0,0,-2.68242383411939
"227",227,2018.23287671233,"WP2","op","WP2-0354","Marked","13/03/2018","b2","Pitfall",58,"WP",0,0,-2.68242383411939
"228",228,2017.92602739726,"RE2","op","RE2-0032","Marked","18/11/2017","f3","Onduline",46,"RE",0,0,-2.98927314918797
"229",229,2018.23287671233,"WP2","op","WP2-0530","Marked","14/03/2018","e5","Pitfall",60,"WP",0,0,-2.68242383411939
"230",230,2017.92602739726,"RE2","op","RE2-0(12345)00","Marked","18/11/2017","e5","Onduline",64,"RE",0,0,-2.98927314918797
"231",231,2018.23287671233,"WP2","op","WP2-0034","Marked","16/03/2018","f4","Pitfall",56,"WP",0,0,-2.68242383411939
"233",233,2018.23287671233,"WP3","op","WP3-0420","Marked","3/04/2018","d1","Pitfall",54,"WP",1,0,-2.68242383411939
"235",235,2018.23287671233,"WP3","op","WP3-2050","Marked","5/04/2018","c5","Pitfall",52,"WP",1,0,-2.68242383411939
"236",236,2017.92602739726,"RE2","op","RE2-2(35)54","Marked","19/11/2017","a5","Pitfall",66,"RE",0,0,-2.98927314918797
"237",237,2018.23287671233,"WP3","wm","S3-WP-30","Marked","6/04/2018","b5","Pitfall",58,"WP",1,0,-2.68242383411939
"239",239,2018.23287671233,"WP3","wm","S3-WP-21f","Marked","4/04/2018","b5","Pitfall",62,"WP",1,0,-2.68242383411939
"241",241,2018.23287671233,"WP3","wm","S3-WP3-22","Marked","4/04/2018","b6","Pitfall",65,"WP",1,0,-2.68242383411939
"243",243,2018.23287671233,"WP3","wm","S3-WP3-21n","Marked","11/04/2018","d5","Pitfall",32,"WP",1,0,-2.68242383411939
"244",244,2017.92602739726,"RE2","op","RE2-0204","Marked","19/11/2017","a5","Pitfall",52,"RE",0,0,-2.98927314918797
"245",245,2018.23287671233,"MP1","wm","S3-MP1-A","Marked","3/04/2018","b1","Pitfall",58,"MP",1,0,-2.68242383411939
"246",246,2017.92602739726,"RE2","op","RE2-0205","Marked","19/11/2017","a5","Pitfall",41,"RE",0,0,-2.98927314918797
"247",247,2018.23287671233,"MP1","wm","S3-MP1-B","Marked","3/04/2018","d5","Pitfall",55,"MP",1,0,-2.68242383411939
"248",248,2017.92602739726,"RE2","op","RE2-0302","Marked","19/11/2017","a4","Pitfall",58,"RE",0,0,-2.98927314918797
"249",249,2018.23287671233,"MP1","op","MP1-0400","Marked","5/04/2018","b3","Pitfall",57,"MP",1,0,-2.68242383411939
"251",251,2018.23287671233,"MP1","op","MP1-0202","Marked","5/04/2018","b1","Pitfall",51,"MP",1,0,-2.68242383411939
"253",253,2018.23287671233,"MP1","wm","S3-MP1-C","Marked","9/04/2018","a2","Onduline",29,"MP",1,0,-2.68242383411939
"255",255,2018.23287671233,"MP1","op","MP1-0202","Marked","4/04/2018","a1","Pitfall",50,"MP",1,0,-2.68242383411939
"257",257,2018.23287671233,"MP1","op","MP1-5500m","Marked","14/04/2018","b6","Pitfall",51,"MP",1,0,-2.68242383411939
"259",259,2018.23287671233,"MP2","wm","S3-MP2-1","Marked","5/03/2018","a1","Pitfall",71,"MP",0,0,-2.68242383411939
"260",260,2017.92602739726,"RE2","op","RE2-0304","Marked","19/11/2017","a1","Pitfall",41,"RE",0,0,-2.98927314918797
"261",261,2018.23287671233,"MP2","wm","S3-MP2-2","Marked","5/03/2018","a2","Pitfall",66,"MP",0,0,-2.68242383411939
"262",262,2017.92602739726,"RE2","op","RE2-0305","Marked","19/11/2017","b2","Pitfall",58,"RE",0,0,-2.98927314918797
"265",265,2018.23287671233,"MP2","wm","S3-MP2-3","Marked","5/03/2018","d5","Onduline",57,"MP",0,0,-2.68242383411939
"267",267,2018.23287671233,"MP2","wm","S3-MP2-10","Marked","6/03/2018","e5","Pitfall",56,"MP",0,0,-2.68242383411939
"268",268,2017.92602739726,"RE2","op","RE2-5350","Marked","19/11/2017","b2","Pitfall",65,"RE",0,0,-2.98927314918797
"269",269,2018.23287671233,"MP2","wm","S3-MP2-11","Marked","6/03/2018","b5","Pitfall",29.5,"MP",0,0,-2.68242383411939
"275",275,2018.23287671233,"MP2","wm","S3-MP2-14","Marked","8/03/2018","f4","Pitfall",66,"MP",0,0,-2.68242383411939
"276",276,2017.92602739726,"RE2","op","RE2-4045","Marked","20/11/2017","d5","Pitfall",54,"RE",0,0,-2.98927314918797
"277",277,2018.23287671233,"MP2","wm","S3-MP2-na!","Marked","5/03/2018","b5","Pitfall",57,"MP",0,0,-2.68242383411939
"279",279,2018.23287671233,"MP2","op","MP2-(34)000","Marked","6/03/2018","e1","Pitfall",55,"MP",0,0,-2.68242383411939
"283",283,2018.23287671233,"MP2","op","MP2-0250","Marked","9/03/2018","e1","Pitfall",64,"MP",0,0,-2.68242383411939
"285",285,2018.23287671233,"MP2","op","MP2-0045","Marked","13/03/2018","c4","Pitfall",63,"MP",0,0,-2.68242383411939
"287",287,2018.23287671233,"MP2","op","MP2-0005","Marked","16/03/2018","e3","Onduline",57,"MP",0,0,-2.68242383411939
"289",289,2018.23287671233,"MP2","op","MP2-0505","Marked","17/03/2018","a6","Pitfall",32,"MP",0,0,-2.68242383411939
"291",291,2018.23287671233,"MP2","op","MP2-0520","Marked","17/03/2018","b1","Pitfall",56,"MP",0,0,-2.68242383411939
"292",292,2017.92602739726,"RE2","op","RE2-(23)000m","Marked","20/11/2017","b3","Pitfall",55,"RE",0,0,-2.98927314918797
"293",293,2018.93150684932,"WP2","op","WP2-4500","Marked","13/11/2018","a4","Pitfall",64,"WP",0,0,-1.98379369713302
"295",295,2018.93150684932,"WP2","op","WP2-0023","Marked","13/11/2018","b6","Pitfall",63,"WP",0,0,-1.98379369713302
"299",299,2018.93150684932,"WP2","op","WP2-0530","Marked","13/11/2018","b6","Pitfall",60.5,"WP",0,0,-1.98379369713302
"300",300,2017.92602739726,"RE2","op","RE2-0405","Marked","20/11/2017","c2","Pitfall",45,"RE",0,0,-2.98927314918797
"302",302,2017.92602739726,"RE2","op","RE2-5010","Marked","20/11/2017","a1","Onduline",63,"RE",0,0,-2.98927314918797
"305",305,2018.93150684932,"WP2","op","WP2-5400","Marked","13/11/2018","b6","Pitfall",48,"WP",0,0,-1.98379369713302
"306",306,2017.92602739726,"RE2","op","RE2-0003m","Marked","20/11/2017","a1","Pitfall",61,"RE",0,0,-2.98927314918797
"307",307,2018.93150684932,"WP2","wm","S4-WP2-1","Marked","13/11/2018","c6","Onduline",44.5,"WP",0,0,-1.98379369713302
"309",309,2018.93150684932,"WP2","wm","S4-WP2-2","Marked","13/11/2018","c6","Pitfall",53,"WP",0,0,-1.98379369713302
"311",311,2018.93150684932,"WP2","wm","S4-WP2-3N","Marked","13/11/2018","c5","Onduline",28.9,"WP",0,0,-1.98379369713302
"315",315,2018.93150684932,"WP2","wm","S4-WP2-4","Marked","13/11/2018","d5","Pitfall",58,"WP",0,0,-1.98379369713302
"316",316,2017.92602739726,"RE2","op","RE2-0(35)54","Marked","21/11/2017","b5","Pitfall",65,"RE",0,0,-2.98927314918797
"317",317,2018.93150684932,"WP2","wm","S4-WP2-4","Marked","16/11/2018","d5","Pitfall",66,"WP",0,0,-1.98379369713302
"318",318,2017.92602739726,"RE2","op","RE2-0140","Marked","21/11/2017","b5","Pitfall",59,"RE",0,0,-2.98927314918797
"323",323,2018.93150684932,"WP2","wm","S4-WP2-5M","Marked","13/11/2018","c2","Pitfall",64,"WP",0,0,-1.98379369713302
"324",324,2017.92602739726,"RE2","op","RE2-0021","Marked","21/11/2017","b1","Pitfall",45,"RE",0,0,-2.98927314918797
"325",325,2018.93150684932,"WP2","wm","S4-WP2-6","Marked","13/11/2018","d2","Pitfall",57,"WP",0,0,-1.98379369713302
"326",326,2017.92602739726,"RE2","op","RE2-0220","Marked","22/11/2017","f6","Pitfall",54,"RE",0,0,-2.98927314918797
"327",327,2018.93150684932,"WP2","wm","S4-WP2-7","Marked","13/11/2018","e5","Pitfall",68,"WP",0,0,-1.98379369713302
"328",328,2017.92602739726,"RE2","op","RE2-0230","Marked","22/11/2017","f5","Pitfall",58,"RE",0,0,-2.98927314918797
"330",330,2017.92602739726,"RE2","op","RE2-0040","Marked","22/11/2017","f5","Pitfall",44,"RE",0,0,-2.98927314918797
"333",333,2018.93150684932,"WP2","wm","S4-WP2-8","Marked","13/11/2018","e5","Pitfall",45,"WP",0,0,-1.98379369713302
"334",334,2017.92602739726,"RE2","op","RE2-30(34)3","Marked","23/11/2017","","Pitfall",61.5,"RE",0,0,-2.98927314918797
"336",336,2017.92602739726,"RE2","op","RE2-0340","Marked","23/11/2017","a5","Pitfall",43.5,"RE",0,0,-2.98927314918797
"338",338,2017.92602739726,"RE2","op","RE2-00(234)","Marked","23/11/2017","d5","Pitfall",55,"RE",0,0,-2.98927314918797
"339",339,2018.93150684932,"WP2","wm","S4-WP2-3G","Marked","14/11/2018","a3","Pitfall",64,"WP",0,0,-1.98379369713302
"340",340,2017.92602739726,"RE2","op","RE2-0350","Marked","23/11/2017","a6","Pitfall",44,"RE",0,0,-2.98927314918797
